Topic,Ruby MRI,JVM,Perl,Multi,Python,Gc,R,.NET,Node.js,Julia,Dart VM,Zend Engine,Elm
Dependency,10.5390856,28.73506176,14.46317657,18.25718497,18.81881882,13.03509816,24.72727273,9.522854852,14.17279868,26.40209905,13.174946,55.78512397,16.7090216
Build,7.036166502,25.42484274,5.678793256,4.697862933,6.406406406,5.289708507,5.636363636,6.405372895,6.16783795,3.804526074,13.174946,6.198347107,3.557814485
Configuration,4.268708772,3.614684067,37.79946761,38.49484156,48.94894895,4.442593694,35.81818182,67.85284683,15.25919802,5.51000328,25.91792657,20.66115702,3.939008895
Error,52.04336947,9.479995171,15.88287489,16.86624908,4.904904905,4.464009518,9.454545455,4.881716119,11.98015709,5.559199738,8.639308855,7.024793388,4.701397713
Testing,3.298203048,12.212133,4.170363798,4.22807664,2.702702703,3.462224866,2.545454545,1.834402566,4.057875155,2.492620531,4.103671706,0.826446281,2.414231258
Client-server,5.072408826,2.644956208,6.033717835,2.616064849,5.705705706,12.54967281,2.909090909,2.315557338,8.560562216,2.246638242,5.831533477,3.305785124,6.925031766
Interface,3.176889832,2.712018992,7.009760426,5.093957259,4.604604605,15.88816181,6,1.37329591,4.272840017,15.33289603,5.183585313,2.066115702,8.3227446
Services,3.017666237,10.42558043,0.976042591,3.002947679,1.901901902,3.585960738,1.090909091,2.255412991,4.873088053,1.213512627,15.76673866,0.826446281,2.414231258
Package usage,7.695807112,3.05135668,5.146406389,4.513633014,4.704704705,11.89530042,7.818181818,2.666399358,28.11078958,11.93834044,5.399568035,2.892561983,28.08132147
Package function,3.851694594,1.699370951,2.839396628,2.229182019,1.301301301,25.38726948,4,0.892141139,2.544853245,25.50016399,2.807775378,0.41322314,22.93519695
