,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,"frozenset({'A_i.stack.imgur.com', 'Q_docs.nuget.org'})",frozenset({'Q_i.stack.imgur.com'}),0.010480349344978166,0.3624454148471616,0.005240174672489083,0.5,1.3795180722891567,0.0014416201064052932,1.2751091703056767
1,"frozenset({'Q_i.stack.imgur.com', 'Q_docs.nuget.org'})",frozenset({'A_i.stack.imgur.com'}),0.008733624454148471,0.20873362445414848,0.005240174672489083,0.6,2.8744769874476988,0.0034171735855532885,1.9781659388646289
2,"frozenset({'A_i.stack.imgur.com', 'Q_github.com'})",frozenset({'Q_i.stack.imgur.com'}),0.02096069868995633,0.3624454148471616,0.010480349344978166,0.5,1.3795180722891567,0.0028832402128105864,1.2751091703056767
3,frozenset({'A_i.stack.imgur.com'}),frozenset({'Q_i.stack.imgur.com'}),0.20873362445414848,0.3624454148471616,0.13100436681222707,0.6276150627615062,1.7316126430407823,0.055349821704391594,1.7120847848486331
4,"frozenset({'A_i.stack.imgur.com', 'A_github.com'})",frozenset({'Q_i.stack.imgur.com'}),0.026200873362445413,0.3624454148471616,0.01834061135371179,0.7,1.931325301204819,0.008844224938502315,2.125181950509461
5,"frozenset({'A_docs.microsoft.com', 'A_stackoverflow.com'})",frozenset({'Q_i.stack.imgur.com'}),0.014847161572052401,0.3624454148471616,0.00960698689956332,0.6470588235294118,1.7852586817859675,0.004225701264277951,1.8064046579330422
6,"frozenset({'Q_github.com', 'Q_www.nuget.org'})",frozenset({'A_github.com'}),0.01921397379912664,0.2480349344978166,0.00960698689956332,0.5,2.015845070422535,0.004841250166854179,1.503930131004367
7,"frozenset({'A_i.stack.imgur.com', 'A_www.nuget.org'})",frozenset({'Q_i.stack.imgur.com'}),0.01921397379912664,0.3624454148471616,0.010480349344978166,0.5454545454545454,1.5049288061336252,0.003516332640491218,1.4026200873362442
8,"frozenset({'A_i.stack.imgur.com', 'A_docs.microsoft.com'})",frozenset({'Q_i.stack.imgur.com'}),0.032314410480349345,0.3624454148471616,0.01921397379912664,0.5945945945945946,1.6405079778573755,0.007501763887034954,1.5726346433770013
9,frozenset({'A_www.visualstudio.com'}),frozenset({'Q_i.stack.imgur.com'}),0.010480349344978166,0.3624454148471616,0.007860262008733625,0.75,2.069277108433735,0.004061707442649835,2.5502183406113534
10,frozenset({'A_blogs.msdn.microsoft.com'}),frozenset({'Q_i.stack.imgur.com'}),0.013973799126637555,0.3624454148471616,0.007860262008733625,0.5625,1.551957831325301,0.002795522587288572,1.4572676232064876
11,"frozenset({'Q_i.stack.imgur.com', 'Q_docs.microsoft.com'})",frozenset({'A_i.stack.imgur.com'}),0.014847161572052401,0.20873362445414848,0.011353711790393014,0.7647058823529412,3.663549101649028,0.008254609942602163,3.3628820960698698
12,"frozenset({'Q_docs.microsoft.com', 'Q_stackoverflow.com'})",frozenset({'A_i.stack.imgur.com'}),0.013973799126637555,0.20873362445414848,0.0069868995633187774,0.5,2.3953974895397487,0.004070097824221506,1.582532751091703
13,"frozenset({'A_i.stack.imgur.com', 'Q_docs.microsoft.com', 'Q_stackoverflow.com'})",frozenset({'Q_i.stack.imgur.com'}),0.0069868995633187774,0.3624454148471616,0.005240174672489083,0.75,2.069277108433735,0.0027078049617665564,2.5502183406113534
14,"frozenset({'Q_i.stack.imgur.com', 'Q_docs.microsoft.com', 'Q_stackoverflow.com'})",frozenset({'A_i.stack.imgur.com'}),0.00611353711790393,0.20873362445414848,0.005240174672489083,0.8571428571428571,4.1063956963538555,0.003964073911634027,5.538864628820959
15,"frozenset({'Q_docs.microsoft.com', 'A_www.nuget.org'})",frozenset({'A_docs.microsoft.com'}),0.008733624454148471,0.14934497816593886,0.005240174672489083,0.6,4.017543859649122,0.00393585171907477,2.1266375545851526
16,frozenset({'A_developercommunity.visualstudio.com'}),frozenset({'Q_docs.microsoft.com'}),0.010480349344978166,0.08122270742358079,0.005240174672489083,0.5,6.155913978494624,0.004388932323945004,1.8375545851528385
